id,clinica_id,empresa_id,descricao,tipo,status,liberado_por,liberado_em,criado_em,atualizado_em,hash_pdf,numero_ordem,emitido_em,enviado_em,setor_id,laudo_enviado_em,finalizado_em,entidade_id,status_pagamento,solicitacao_emissao_em,valor_por_funcionario,link_pagamento_token,link_pagamento_expira_em,link_pagamento_enviado_em,pagamento_metodo,pagamento_parcelas,pago_em,valor_servico
1012,104,5,Lote 4 liberado para Empresa CM onlinwe. Inclui 2 funcion├írio(s) eleg├¡veis.,completo,ativo,,2026-02-12 20:18:17.914788,2026-02-12 20:18:17.914788,2026-02-12 20:18:17.914788,,4,,,,,,,,,,,,,,,,
1013,,,Lote 6 liberado para RELEGERE - ASSESSORIA E CONSULTORIA LTDA. Inclui 4 funcion├írio(s) eleg├¡veis vinculados diretamente ├á entidade.,completo,ativo,29930511059,2026-02-12 21:09:12.071042,2026-02-12 21:09:12.071042,2026-02-12 21:09:12.071042,,6,,,,,,100,,,,,,,,,,
1031,104,14,Lote 2 liberado para Empres clin 02. Inclui 1 funcion├írio(s) eleg├¡veis.,completo,concluido,,2026-02-18 02:38:58.852216,2026-02-18 02:38:58.852216,2026-02-18 02:41:15.563308,,2,,,,,,,pago,2026-02-18 02:40:40.065771+00,24.00,1b5b047f-d29d-4754-8e56-b66811ba7fc3,,2026-02-18 02:41:15.563308+00,boleto,1,2026-02-18 03:20:49.925074+00,
1014,,,Lote 7 liberado para RELEGERE - ASSESSORIA E CONSULTORIA LTDA. Inclui 3 funcion├írio(s) eleg├¡veis vinculados diretamente ├á entidade.,completo,concluido,29930511059,2026-02-12 22:05:59.608885,2026-02-12 22:05:59.608885,2026-02-12 23:52:18.708343,,7,,,,,,100,,,,,,,,,,
1015,,,Lote 8 liberado para RELEGERE - ASSESSORIA E CONSULTORIA LTDA. Inclui 1 funcion├írio(s) eleg├¡veis vinculados diretamente ├á entidade.,completo,ativo,29930511059,2026-02-12 23:56:29.222814,2026-02-12 23:56:29.222814,2026-02-12 23:56:29.222814,,8,,,,,,100,,,,,,,,,,
1016,,,Lote 9 liberado para Empresa Final. Inclui 3 funcion├írio(s) eleg├¡veis vinculados diretamente ├á entidade.,completo,ativo,07432266077,2026-02-13 02:29:32.907947,2026-02-13 02:29:32.907947,2026-02-13 02:29:32.907947,,9,,,,,,110,,,,,,,,,,
1017,111,9,Lote 1 liberado para Empresa RH da clini. Inclui 2 funcion├írio(s) eleg├¡veis.,completo,ativo,,2026-02-13 02:53:27.28168,2026-02-13 02:53:27.28168,2026-02-13 02:53:27.28168,,1,,,,,,,,,,,,,,,,
1019,104,5,Lote 6 liberado para Empresa CM onlinwe. Inclui 2 funcion├írio(s) eleg├¡veis.,completo,concluido,,2026-02-16 14:23:17.887271,2026-02-16 14:23:17.887271,2026-02-18 01:30:15.3016,,6,,,,,,,pago,2026-02-18 01:27:36.591513+00,19.00,9b1da50d-26bc-4301-882e-c833d19cc54c,,2026-02-18 01:30:15.3016+00,boleto,1,2026-02-18 03:27:49.178956+00,
1020,112,10,Lote 1 liberado para TESTE TESTE. Inclui 1 funcion├írio(s) eleg├¡veis.,completo,cancelado,,2026-02-16 14:41:07.474115,2026-02-16 14:41:07.474115,2026-02-16 14:43:34.744744,,1,,,,,,,,,,,,,,,,
1021,112,10,Lote 2 liberado para TESTE TESTE. Inclui 1 funcion├írio(s) eleg├¡veis.,completo,ativo,,2026-02-16 14:43:59.088439,2026-02-16 14:43:59.088439,2026-02-16 14:43:59.088439,,2,,,,,,,,,,,,,,,,
1022,112,10,Lote 3 liberado para TESTE TESTE. Inclui 2 funcion├írio(s) eleg├¡veis.,completo,ativo,,2026-02-16 14:54:08.66088,2026-02-16 14:54:08.66088,2026-02-16 14:54:08.66088,,3,,,,,,,,,,,,,,,,
1023,112,10,Lote 4 liberado para TESTE TESTE. Inclui 4 funcion├írio(s) eleg├¡veis.,completo,ativo,,2026-02-16 15:53:20.61145,2026-02-16 15:53:20.61145,2026-02-16 15:53:20.61145,,4,,,,,,,,,,,,,,,,
1024,113,12,Lote 1 liberado para GEsor Clinex. Inclui 1 funcion├írio(s) eleg├¡veis.,completo,concluido,,2026-02-16 18:28:42.879711,2026-02-16 18:28:42.879711,2026-02-16 18:38:20.790429,,1,,,,,,,,,,,,,,,,
1033,104,14,Lote 4 liberado para Empres clin 02. Inclui 1 funcion├írio(s) eleg├¡veis.,completo,concluido,,2026-02-18 11:07:07.504048,2026-02-18 11:07:07.504048,2026-02-18 11:11:26.885306,,4,,,,,,,pago,2026-02-18 11:08:59.166885+00,18.50,02512aad-79ae-45f4-bd09-15328aa3444d,,2026-02-18 11:11:26.885306+00,boleto,1,2026-02-18 11:12:38.538267+00,
1026,,,Lote 11 liberado para Entidade 00. Inclui 3 funcion├írio(s) eleg├¡veis vinculados diretamente ├á entidade.,completo,concluido,48538520008,2026-02-17 13:00:20.583082,2026-02-17 13:00:20.583082,2026-02-17 13:54:36.214778,,11,,,,,,114,pago,2026-02-17 13:09:14.294596+00,43.50,7a5a3eca-1a50-4b2d-8c68-9e6aa8f11825,,2026-02-17 13:54:36.214778+00,credit_card,1,2026-02-17 14:08:32.581613+00,
1035,118,15,Lote 1 liberado para Emp cline 2026 fev. Inclui 3 funcion├írio(s) eleg├¡veis.,completo,concluido,,2026-02-23 23:08:34.460644,2026-02-23 23:08:34.460644,2026-02-23 23:17:14.424353,,1,,,,,,,pago,2026-02-23 23:16:38.107263+00,20.00,be50e8fc-1728-4f2b-99bb-9ff6598bf778,,2026-02-23 23:17:14.424353+00,boleto,1,2026-02-23 23:20:51.676171+00,
1018,104,5,Lote 5 liberado para Empresa CM onlinwe. Inclui 3 funcion├írio(s) eleg├¡veis.,completo,concluido,,2026-02-13 12:52:21.512364,2026-02-13 12:52:21.512364,2026-02-17 00:24:15.071124,,5,,,,,,,pago,2026-02-17 00:23:27.974976+00,15.55,95c6333e-b6fc-4170-b26e-47277984707c,,2026-02-17 00:24:15.071124+00,credit_card,1,2026-02-17 16:25:07.446918+00,
1043,129,20,Lote 1 liberado para Farma Mori. Inclui 4 funcion├írio(s) eleg├¡veis.,completo,cancelado,,2026-03-09 02:03:14.828254,2026-03-09 02:03:14.828254,2026-03-09 20:58:15.079946,,1,,,,,,,,,,,,,,,,
1034,,,Lote 14 liberado para TKCF Siderurguaca. Inclui 2 funcion├írio(s) eleg├¡veis vinculados diretamente ├á entidade.,completo,concluido,16911251052,2026-02-23 20:52:11.754618,2026-02-23 20:52:11.754618,2026-02-23 21:25:06.783733,,14,,,,,,117,pago,2026-02-23 21:23:56.968954+00,152.00,dd11cf37-cf03-4d05-81cf-ea05cd8b4f73,,2026-02-23 21:25:06.783733+00,credit_card,1,2026-02-23 21:27:37.531089+00,
1036,,,Lote 15 liberado para RELEGERE - ASSESSORIA E CONSULTORIA LTDA. Inclui 2 funcion├írio(s) eleg├¡veis vinculados diretamente ├á entidade.,completo,ativo,29930511059,2026-02-24 00:32:15.181034,2026-02-24 00:32:15.181034,2026-02-24 00:32:15.181034,,15,,,,,,100,,,,,,,,,,
1047,129,20,Lote 3 liberado para Farma Mori. Inclui 6 funcion├írio(s) eleg├¡veis.,completo,ativo,,2026-03-16 18:30:09.903468,2026-03-16 18:30:09.903468,2026-03-16 18:30:09.903468,,3,,,,,,,,,,,,,,,,
1057,104,14,Lote 6 liberado para Empres clin 02. Inclui 3 funcion├írio(s) eleg├¡veis.,completo,ativo,,2026-04-02 18:50:44.746884,2026-04-02 18:50:44.746884,2026-04-02 18:50:44.746884,,6,,,,,,,,,,,,,,,,
1042,,,Lote 18 liberado para teste lead comiss e contrat. Inclui 2 funcion├írio(s) eleg├¡veis vinculados diretamente ├á entidade.,completo,concluido,91510815040,2026-03-03 14:37:15.306303,2026-03-03 14:37:15.306303,2026-03-03 14:47:14.606391,,18,,,,,,127,pago,2026-03-03 14:38:37.116556+00,55.00,d08a1243-6124-4d39-be34-cc1a2943364a,,2026-03-03 14:47:14.606391+00,boleto,1,2026-03-03 14:48:28.029142+00,
1038,104,5,Lote 7 liberado para Empresa CM onlinwe. Inclui 2 funcion├írio(s) eleg├¡veis.,completo,cancelado,,2026-02-27 05:43:16.178477,2026-02-27 05:43:16.178477,2026-03-09 22:38:21.733618,,7,,,,,,,,,,,,,,,,
1037,120,17,Lote 1 liberado para dfsgsG SDFsfes. Inclui 1 funcion├írio(s) eleg├¡veis.,completo,concluido,,2026-02-25 18:25:07.383889,2026-02-25 18:25:07.383889,2026-02-25 20:08:22.576715,,1,,,,,,,pago,2026-02-25 18:39:25.667141+00,12.50,44cde3ce-0f4f-4c38-9f1a-adb4ded1ac99,,2026-02-25 20:08:22.576715+00,boleto,1,2026-02-25 20:10:38.629986+00,
1039,,,Lote 16 liberado para Tsete apos clean. Inclui 3 funcion├írio(s) eleg├¡veis vinculados diretamente ├á entidade.,completo,concluido,05248635047,2026-02-27 12:33:19.898178,2026-02-27 12:33:19.898178,2026-02-27 13:12:16.205921,,16,,,,,,121,aguardando_cobranca,2026-02-27 13:12:16.205921+00,,,,,,,,
1040,123,18,Lote 1 liberado para emeoa ruao io. Inclui 3 funcion├írio(s) eleg├¡veis.,completo,concluido,,2026-02-27 13:23:43.884143,2026-02-27 13:23:43.884143,2026-02-27 13:27:27.358696,,1,,,,,,,,,,,,,,,,
1041,,,Lote 17 liberado para fdfgadfgaadffg. Inclui 1 funcion├írio(s) eleg├¡veis vinculados diretamente ├á entidade.,completo,ativo,09777228996,2026-03-03 13:22:21.92372,2026-03-03 13:22:21.92372,2026-03-03 13:22:21.92372,,17,,,,,,125,,,,,,,,,,
1046,129,20,Lote 2 liberado para Farma Mori. Inclui 6 funcion├írio(s) eleg├¡veis.,completo,concluido,,2026-03-16 17:58:12.730483,2026-03-16 17:58:12.730483,2026-03-16 21:49:47.57776,,2,,,,,,,pago,2026-03-16 21:49:02.352946+00,7.00,1b669faa-5c49-41f7-9ee8-9a35d8814891,,2026-03-16 21:49:47.57776+00,pix,1,2026-03-16 21:51:06.076271+00,
1049,120,17,Lote 2 liberado para dfsgsG SDFsfes. Inclui 1 funcion├írio(s) eleg├¡veis.,completo,concluido,,2026-03-20 11:27:06.686052,2026-03-20 11:27:06.686052,2026-03-20 11:36:34.486652,,2,,,,,,,aguardando_cobranca,2026-03-20 11:36:34.486652+00,,,,,,,,
1045,131,21,Lote 1 liberado para Construtora Teste Ltda. Inclui 12 funcion├írio(s) eleg├¡veis.,completo,concluido,,2026-03-16 13:15:49.6568,2026-03-16 13:15:49.6568,2026-03-25 12:22:10.635247,,1,,,,,,,pago,2026-03-24 20:10:23.921882+00,10.00,a28e8a24-80a3-43ed-8c25-9c69abf8528f,,2026-03-25 12:22:10.635247+00,boleto,1,2026-03-25 12:23:08.36722+00,
1048,,,Lote 19 liberado para Acesso Sa├║de Franchisig e Gest├úo de Ativos Ltda. Inclui 20 funcion├írio(s) eleg├¡veis vinculados diretamente ├á entidade.,completo,concluido,87748070997,2026-03-16 19:35:33.413206,2026-03-16 19:35:33.413206,2026-03-25 12:37:15.067794,,19,,,,,,130,pago,2026-03-25 12:25:08.77014+00,22.50,fa6e7128-0574-4a75-9439-c9c5469b3562,,2026-03-25 12:37:15.067794+00,boleto,1,2026-03-25 12:39:27.37063+00,
1050,,,Lote 20 liberado para Acesso Sa├║de Franchisig e Gest├úo de Ativos Ltda. Inclui 3 funcion├írio(s) eleg├¡veis vinculados diretamente ├á entidade.,completo,concluido,87748070997,2026-03-25 12:32:34.9118,2026-03-25 12:32:34.9118,2026-03-25 18:28:18.336936,,20,,,,,,130,,,,,,,,,,
1051,120,23,Lote 1 liberado para CONSTRUTORA INOVA AGORA. Inclui 1 funcion├írio(s) eleg├¡veis.,completo,concluido,,2026-03-26 18:16:00.815785,2026-03-26 18:16:00.815785,2026-03-26 18:21:42.649836,,1,,,,,,,aguardando_cobranca,2026-03-26 18:21:42.649836+00,,,,,,,,
1052,120,24,Lote 1 liberado para B&B p├úes e do├ºes. Inclui 1 funcion├írio(s) eleg├¡veis.,completo,concluido,,2026-03-27 17:42:31.911991,2026-03-27 17:42:31.911991,2026-03-27 18:10:00.066777,,1,,,,,,,aguardando_cobranca,2026-03-27 18:10:00.066777+00,,,,,,,,
1044,104,5,Lote 8 liberado para Empresa CM onlinwe. Inclui 3 funcion├írio(s) eleg├¡veis.,completo,concluido,,2026-03-10 22:58:55.770127,2026-03-10 22:58:55.770127,2026-03-30 16:39:34.450812,,8,,,,,,,,,,,,,,,,
1028,104,14,Lote 1 liberado para Empres clin 02. Inclui 1 funcion├írio(s) eleg├¡veis.,completo,concluido,,2026-02-17 19:31:13.767633,2026-02-17 19:31:13.767633,2026-02-26 17:23:59.171385,,1,,,,,,,pago,2026-02-20 00:08:49.131665+00,13.55,765983cf-fb28-4e15-a175-2c941bacf196,,2026-02-26 17:23:59.171385+00,boleto,1,2026-03-30 19:50:49.352347+00,
1054,,,Lote 21 liberado para Construtora e Incorporadora FIVE. Inclui 1 funcion├írio(s) eleg├¡veis vinculados diretamente ├á entidade.,completo,concluido,20192669702,2026-03-31 19:55:43.00085,2026-03-31 19:55:43.00085,2026-03-31 20:01:08.914149,,21,,,,,,133,aguardando_cobranca,2026-03-31 20:01:08.914149+00,,,,,,,,
1053,120,23,Lote 2 liberado para CONSTRUTORA INOVA AGORA. Inclui 2 funcion├írio(s) eleg├¡veis.,completo,concluido,,2026-03-31 18:44:36.771315,2026-03-31 18:44:36.771315,2026-04-02 11:40:51.767799,,2,,,,,,,,,,,,,,,,
1055,120,23,Lote 3 liberado para CONSTRUTORA INOVA AGORA. Inclui 1 funcion├írio(s) eleg├¡veis.,completo,ativo,,2026-04-02 12:41:10.291415,2026-04-02 12:41:10.291415,2026-04-02 12:41:10.291415,,3,,,,,,,,,,,,,,,,
1056,104,14,Lote 5 liberado para Empres clin 02. Inclui 2 funcion├írio(s) eleg├¡veis.,completo,ativo,,2026-04-02 18:46:58.687674,2026-04-02 18:46:58.687674,2026-04-02 18:46:58.687674,,5,,,,,,,,,,,,,,,,
